,year,osteoconductive,biomaterial,craniofacial,biomanufacturing,biofabrication,osseointegration,mandible
0,1976,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1977,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,1978,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,1979,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,1980,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,1981,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,1982,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,1983,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,1984,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,1985,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.9166666666666666
10,1986,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.8333333333333334
11,1987,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.75
12,1988,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.9333333333333333
13,1989,0.0,0.0967741935483871,0.03225806451612903,0.0,0.0,0.1935483870967742,0.6774193548387096
14,1990,0.029411764705882353,0.08823529411764706,0.029411764705882353,0.0,0.0,0.11764705882352941,0.7058823529411765
15,1991,0.06666666666666667,0.044444444444444446,0.022222222222222223,0.0,0.0,0.26666666666666666,0.5333333333333333
16,1992,0.11904761904761904,0.09523809523809523,0.047619047619047616,0.0,0.0,0.14285714285714285,0.47619047619047616
17,1993,0.1206896551724138,0.1206896551724138,0.0,0.0,0.0,0.3103448275862069,0.3275862068965517
18,1994,0.171875,0.015625,0.078125,0.0,0.0,0.15625,0.40625
19,1995,0.14285714285714285,0.09523809523809523,0.031746031746031744,0.0,0.0,0.19047619047619047,0.3968253968253968
20,1996,0.10606060606060606,0.10606060606060606,0.045454545454545456,0.0,0.0,0.25757575757575757,0.3787878787878788
21,1997,0.1623931623931624,0.09401709401709402,0.042735042735042736,0.0,0.0,0.15384615384615385,0.38461538461538464
22,1998,0.1513157894736842,0.09210526315789473,0.046052631578947366,0.0,0.0,0.18421052631578946,0.375
23,1999,0.14942528735632185,0.1206896551724138,0.06896551724137931,0.0,0.0,0.19540229885057472,0.3160919540229885
24,2000,0.14361702127659576,0.1595744680851064,0.05851063829787234,0.0,0.0,0.16489361702127658,0.32978723404255317
25,2001,0.17063492063492064,0.15873015873015872,0.047619047619047616,0.0,0.0,0.15476190476190477,0.2976190476190476
26,2002,0.15859030837004406,0.16299559471365638,0.048458149779735685,0.0,0.0,0.15859030837004406,0.31277533039647576
27,2003,0.20408163265306123,0.17959183673469387,0.02857142857142857,0.0,0.0,0.16326530612244897,0.22040816326530613
28,2004,0.19047619047619047,0.13690476190476192,0.07142857142857142,0.0,0.0,0.14285714285714285,0.26785714285714285
29,2005,0.24170616113744076,0.1848341232227488,0.04265402843601896,0.0,0.0,0.07109004739336493,0.21800947867298578
30,2006,0.22996515679442509,0.14982578397212543,0.04529616724738676,0.0,0.0,0.11149825783972125,0.23344947735191637
31,2007,0.22018348623853212,0.16972477064220184,0.07339449541284404,0.0045871559633027525,0.0,0.11926605504587157,0.1926605504587156
32,2008,0.19745222929936307,0.1337579617834395,0.09554140127388536,0.0,0.0,0.08280254777070063,0.2929936305732484
33,2009,0.2846153846153846,0.1346153846153846,0.05,0.0,0.0,0.07692307692307693,0.16923076923076924
34,2010,0.2698412698412698,0.1383219954648526,0.047619047619047616,0.0022675736961451248,0.0,0.07256235827664399,0.19954648526077098
35,2011,0.23104693140794225,0.1588447653429603,0.05956678700361011,0.0018050541516245488,0.0018050541516245488,0.09747292418772563,0.2184115523465704
36,2012,0.24205748865355523,0.14674735249621784,0.049924357034795766,0.0015128593040847202,0.0030257186081694403,0.10892586989409984,0.20574886535552195
37,2013,0.21892816419612315,0.18129988597491448,0.046750285062713795,0.014823261117445839,0.002280501710376283,0.11402508551881414,0.20296465222348917
38,2014,0.2222222222222222,0.18415637860082304,0.046296296296296294,0.00205761316872428,0.0030864197530864196,0.11728395061728394,0.20267489711934156
39,2015,0.21776814734561215,0.19609967497291442,0.05417118093174431,0.007583965330444204,0.0010834236186348862,0.12134344528710726,0.18418201516793067
40,2016,0.23415132924335377,0.16768916155419222,0.06237218813905931,0.011247443762781187,0.0010224948875255625,0.10633946830265849,0.18302658486707565
41,2017,0.20186335403726707,0.18840579710144928,0.051759834368530024,0.012422360248447204,0.007246376811594203,0.12836438923395446,0.2080745341614907
42,2018,0.19628339140534262,0.17305458768873402,0.06852497096399536,0.008130081300813009,0.013937282229965157,0.11382113821138211,0.22996515679442509
43,2019,0.17096466093600765,0.17765042979942694,0.13658070678127984,0.009551098376313277,0.01623686723973257,0.11556829035339064,0.20248328557784145
44,2020,0.15305164319248826,0.18685446009389672,0.14178403755868543,0.015023474178403756,0.01784037558685446,0.1295774647887324,0.2028169014084507
45,2021,0.14076782449725778,0.170018281535649,0.16453382084095064,0.010968921389396709,0.026508226691042046,0.10237659963436929,0.24405850091407677
