,year,macro,micro,nano,unit cell
0,1976,1,7,0,0
1,1977,1,2,0,0
2,1978,0,3,0,0
3,1979,0,1,0,0
4,1980,0,5,0,0
5,1981,0,5,0,0
6,1982,1,1,0,0
7,1983,0,0,0,0
8,1984,2,6,0,0
9,1985,0,3,0,0
10,1986,0,5,0,0
11,1987,2,4,1,0
12,1988,0,2,0,0
13,1989,2,9,1,0
14,1990,1,7,1,0
15,1991,2,13,2,0
16,1992,6,14,2,0
17,1993,3,17,0,1
18,1994,6,23,2,0
19,1995,6,23,2,0
20,1996,8,23,1,0
21,1997,16,38,4,0
22,1998,23,57,6,0
23,1999,24,57,10,0
24,2000,31,64,7,0
25,2001,49,100,15,1
26,2002,50,95,19,0
27,2003,37,93,19,1
28,2004,26,68,18,0
29,2005,38,79,19,1
30,2006,51,111,37,0
31,2007,40,79,29,2
32,2008,36,75,22,2
33,2009,53,103,38,5
34,2010,80,186,67,4
35,2011,106,218,79,2
36,2012,132,267,105,1
37,2013,182,346,139,2
38,2014,213,408,196,6
39,2015,189,388,184,8
40,2016,212,398,198,5
41,2017,196,419,227,6
42,2018,174,377,182,5
43,2019,239,519,284,3
44,2020,263,544,249,6
45,2021,297,601,325,12
